dch 0
lkp  the                      
lkp  way                      
ins way                      
lkp  dinah                    
ins dinah                    
lkp  washed                   
lkp  her                      
ins her                      
lkp  children                 
ins children                 
lkp  s                        
lkp  faces                    
ins faces                    
lkp  was                      
lkp  this                     
ins this                     
lkp  first                    
ins first                    
lkp  she                      
ins she                      
lkp  held                     
ins held                     
lkp  the                      
lkp  poor                     
ins poor                     
lkp  thing                    
lkp  down                     
ins down                     
lkp  by                       
lkp  its                      
lkp  ear                      
ins ear                      
lkp  with                     
lkp  one                      
lkp  paw                      
ins paw                      
lkp  and                      
lkp  then                     
ins then                     
lkp  with                     
lkp  the                      
lkp  other                    
ins other                    
lkp  paw                      
lkp  she                      
lkp  rubbed                   
ins rubbed                   
lkp  its                      
lkp  face                     
lkp  all                      
ins all                      
lkp  over                     
ins over                     
lkp  the                      
lkp  wrong                    
ins wrong                    
lkp  way                      
lkp  beginning                
ins beginning                
lkp  at                       
ins at                       
lkp  the                      
lkp  nose                     
ins nose                     
lkp  and                      
lkp  just                     
ins just                     
lkp  now                      
ins now                      
lkp  as                       
ins as                       
lkp  i                        
ins i                        
lkp  said                     
ins said                     
lkp  she                      
lkp  was                      
lkp  hard                     
ins hard                     
lkp  at                       
lkp  work                     
ins work                     
lkp  on                       
ins on                       
lkp  the                      
lkp  white                    
lkp  kitten                   
lkp  which                    
ins which                    
lkp  was                      
lkp  lying                    
ins lying                    
lkp  quite                    
ins quite                    
lkp  still                    
ins still                    
lkp  and                      
lkp  trying                   
ins trying                   
lkp  to                       
lkp  purr                     
ins purr                     
lkp  no                       
ins no                       
lkp  doublt                   
ins doublt                   
lkp  feeling                  
ins feeling                  
lkp  that                     
lkp  it                       
lkp  was                      
lkp  all                      
lkp  meant                    
ins meant                    
lkp  for                      
lkp  its                      
lkp  good                     
ins good                     
lkp  but                      
ins but                      
lkp  the                      
lkp  black                    
lkp  kitten                   
lkp  had                      
lkp  been                     
lkp  finished                 
ins finished                 
lkp  with                     
lkp  earlier                  
ins earlier                  
lkp  in                       
lkp  the                      
lkp  afternoon                
ins afternoon                
lkp  and                      
lkp  so                       
lkp  while                    
ins while                    
lkp  alice                    
ins alice                    
lkp  was                      
lkp  sitting                  
ins sitting                  
lkp  curled                   
ins curled                   
lkp  up                       
ins up                       
lkp  in                       
lkp  a                        
ins a                        
lkp  corner                   
ins corner                   
lkp  of                       
lkp  the                      
lkp  great                    
ins great                    
lkp  armchair                 
ins armchair                 
lkp  half                     
ins half                     
lkp  talking                  
ins talking                  
lkp  to                       
lkp  herself                  
ins herself                  
lkp  and                      
lkp  half                     
lkp  asleep                   
ins asleep                   
lkp  the                      
lkp  kitten                   
lkp  had                      
lkp  been                     
lkp  having                   
lkp  a                        
lkp  grand                    
ins grand                    
lkp  game                     
ins game                     
lkp  of                       
lkp  romps                    
ins romps                    
lkp  with                     
lkp  the                      
lkp  ball                     
ins ball                     
lkp  of                       
lkp  worsted                  
ins worsted                  
lkp  alice                    
lkp  had                      
lkp  been                     
lkp  trying                   
lkp  to                       
lkp  wind                     
ins wind                     
lkp  up                       
lkp  and                      
lkp  had                      
lkp  been                     
lkp  rolling                  
ins rolling                  
lkp  it                       
lkp  up                       
lkp  and                      
lkp  down                     
lkp  till                     
ins till                     
lkp  it                       
lkp  had                      
lkp  all                      
lkp  come                     
ins come                     
lkp  undone                   
ins undone                   
lkp  again                    
ins again                    
lkp  and                      
lkp  there                    
ins there                    
lkp  it                       
lkp  was                      
lkp  spread                   
ins spread                   
lkp  over                     
lkp  the                      
lkp  hearth                   
ins hearth                   
lkp  rug                      
ins rug                      
lkp  with                     
lkp  the                      
lkp  kitten                   
lkp  running                  
ins running                  
lkp  after                    
ins after                    
lkp  its                      
lkp  own                      
ins own                      
lkp  tail                     
ins tail                     
lkp  in                       
lkp  the                      
lkp  middle                   
ins middle                   
lkp  oh                       
ins oh                       
lkp  you                      
lkp  wicked                   
ins wicked                   
lkp  wicked                   
lkp  little                   
ins little                   
lkp  thing                    
lkp  cried                    
ins cried                    
lkp  alice                    
lkp  catching                 
ins catching                 
lkp  up                       
lkp  the                      
lkp  kitten                   
lkp  and                      
lkp  giving                   
ins giving                   
lkp  it                       
lkp  a                        
lkp  little                   
lkp  kiss                     
ins kiss                     
lkp  to                       
lkp  make                     
ins make                     
lkp  it                       
lkp  understand               
ins understand               
lkp  that                     
lkp  it                       
lkp  was                      
lkp  in                       
lkp  disgrace                 
ins disgrace                 
lkp  really                   
ins really                   
lkp  dinah                    
lkp  you                      
lkp  know                     
ins know                     
lkp  you                      
lkp  ought                    
ins ought                    
lkp  she                      
lkp  added                    
ins added                    
lkp  looking                  
lkp  reproachfully            
ins reproachfully            
lkp  at                       
lkp  the                      
lkp  old                      
lkp  cat                      
lkp  and                      
lkp  speaking                 
ins speaking                 
lkp  in                       
lkp  as                       
lkp  cross                    
ins cross                    
lkp  a                        
lkp  voice                    
ins voice                    
lkp  as                       
lkp  she                      
lkp  could                    
ins could                    
lkp  manage                   
ins manage                   
lkp  and                      
lkp  then                     
lkp  she                      
lkp  scrambled                
ins scrambled                
lkp  back                     
ins back                     
lkp  into                     
ins into                     
lkp  the                      
lkp  arm                      
ins arm                      
lkp  chair                    
ins chair                    
lkp  taking                   
ins taking                   
lkp  the                      
lkp  kitten                   
lkp  and                      
lkp  the                      
lkp  worsted                  
lkp  with                     
lkp  her                      
lkp  and                      
lkp  began                    
ins began                    
lkp  winding                  
ins winding                  
lkp  up                       
lkp  the                      
lkp  ball                     
lkp  agian                    
ins agian                    
lkp  but                      
lkp  she                      
lkp  didn                     
ins didn                     
lkp  t                        
lkp  get                      
ins get                      
lkp  on                       
lkp  very                     
ins very                     
lkp  fast                     
ins fast                     
lkp  as                       
lkp  she                      
lkp  was                      
lkp  talking                  
lkp  all                      
lkp  the                      
lkp  time                     
ins time                     
lkp  sometimes                
ins sometimes                
lkp  to                       
lkp  the                      
lkp  kitten                   
lkp  and                      
lkp  sometimes                
lkp  to                       
lkp  herself                  
lkp  kitty                    
ins kitty                    
lkp  sat                      
ins sat                      
lkp  very                     
lkp  demurely                 
ins demurely                 
lkp  on                       
lkp  her                      
lkp  knee                     
ins knee                     
lkp  pretending               
ins pretending               
lkp  to                       
lkp  watch                    
ins watch                    
lkp  the                      
lkp  progress                 
ins progress                 
lkp  of                       
lkp  the                      
lkp  winding                  
lkp  and                      
lkp  now                      
lkp  and                      
lkp  then                     
lkp  putting                  
ins putting                  
lkp  out                      
ins out                      
lkp  one                      
lkp  paw                      
lkp  and                      
lkp  gently                   
ins gently                   
lkp  touching                 
ins touching                 
lkp  the                      
lkp  ball                     
lkp  as                       
lkp  if                       
ins if                       
lkp  it                       
lkp  would                    
ins would                    
lkp  be                       
ins be                       
lkp  glad                     
ins glad                     
lkp  to                       
lkp  help                     
ins help                     
lkp  if                       
lkp  it                       
lkp  might                    
ins might                    
lkp  do                       
lkp  you                      
lkp  know                     
lkp  what                     
ins what                     
lkp  tomorrow                 
ins tomorrow                 
lkp  is                       
ins is                       
lkp  kitty                    
lkp  alice                    
lkp  began                    
lkp  you                      
lkp  d                        
ins d                        
lkp  have                     
lkp  guessed                  
ins guessed                  
lkp  if                       
lkp  you                      
lkp  d                        
lkp  been                     
lkp  up                       
lkp  in                       
lkp  the                      
lkp  window                   
ins window                   
lkp  with                     
lkp  me                       
ins me                       
lkp  only                     
ins only                     
lkp  dinah                    
lkp  was                      
lkp  making                   
ins making                   
lkp  you                      
lkp  tidy                     
ins tidy                     
lkp  so                       
lkp  you                      
lkp  couldn                   
lkp  t                        
lkp  i                        
lkp  was                      
lkp  watching                 
ins watching                 
lkp  the                      
lkp  boyws                    
ins boyws                    
lkp  getting                  
ins getting                  
lkp  in                       
lkp  sticks                   
ins sticks                   
lkp  for                      
lkp  the                      
lkp  bonfire                  
ins bonfire                  
lkp  and                      
lkp  it                       
lkp  wants                    
ins wants                    
lkp  plenty                   
ins plenty                   
lkp  of                       
lkp  sticks                   
lkp  kitty                    
lkp  only                     
lkp  it                       
lkp  got                      
ins got                      
lkp  so                       
lkp  cold                     
ins cold                     
lkp  and                      
lkp  it                       
lkp  snowed                   
ins snowed                   
lkp  so                       
lkp  they                     
ins they                     
lkp  had                      
lkp  to                       
lkp  leave                    
ins leave                    
lkp  off                      
ins off                      
lkp  never                    
ins never                    
lkp  mind                     
ins mind                     
lkp  we                       
ins we                       
lkp  ll                       
ins ll                       
lkp  go                       
ins go                       
lkp  and                      
lkp  se                       
ins se                       
lkp  the                      
lkp  bonfire                  
lkp  tomorrow                 
lkp  here                     
ins here                     
lkp  alice                    
lkp  wound                    
ins wound                    
lkp  two                      
ins two                      
lkp  or                       
ins or                       
lkp  three                    
ins three                    
lkp  turns                    
ins turns                    
lkp  of                       
lkp  the                      
lkp  worsted                  
lkp  round                    
ins round                    
lkp  the                      
lkp  kitten                   
lkp  s                        
lkp  neck                     
ins neck                     
lkp  just                     
lkp  to                       
lkp  see                      
lkp  how                      
ins how                      
lkp  it                       
lkp  would                    
lkp  look                     
ins look                     
lkp  this                     
lkp  led                      
ins led                      
lkp  to                       
lkp  a                        
lkp  scramble                 
ins scramble                 
lkp  in                       
lkp  which                    
lkp  the                      
lkp  ball                     
lkp  rolled                   
ins rolled                   
lkp  down                     
lkp  upon                     
ins upon                     
lkp  the                      
lkp  floor                    
ins floor                    
lkp  and                      
lkp  yards                    
ins yards                    
lkp  and                      
lkp  yards                    
lkp  of                       
lkp  it                       
lkp  got                      
lkp  unwound                  
ins unwound                  
lkp  again                    
com         231 inserts, and        502 lookups 
